Title,Year,Plot
Vivo,(2021),"Vivo, Sony Pictures Animation's first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation."
Space Jam: A New Legacy,(2021),"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game."
Luca,(2021),"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human."
Paw Patrol: The Movie,(2021),Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.
Raya and the Last Dragon,(2021),"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
The Witcher: Nightmare of the Wolf,(2021),"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
Evangelion: 3.0+1.01 Thrice Upon a Time,(2021),"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower."
Space Jam,(1996),"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan."
The Boss Baby: Family Business,(2021),"The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business."
Soul,(2020),"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
Moana,(2016),"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
The Mitchells vs the Machines,(2021),"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
The Croods: A New Age,(2020),"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
Sonic the Hedgehog 2,(2022),Sequel to the 2020 live-action feature film 'Sonic the Hedgehog'.
Spider-Man: Into the Spider-Verse,(2018),"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Peter Rabbit 2: The Runaway,(2021),"Thomas and Bea are now married and living with Peter and his rabbit family. Bored of life in the garden, Peter goes to the big city, where he meets shady characters and ends up creating chaos for the whole family."
Cars,(2006),"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
Hotel Transylvania: Transformania,(2021),"Drac's Pack is back, like you've never seen them before in the final chapter of 'Hotel Transylvania'."
Spirited Away,(2001),"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
The Lion King,(1994),"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Demon Slayer: Mugen Train,(2020),"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Tom and Jerry,(2021),"A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives."
Coco,(2017),"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Frozen,(2013),"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
Zootopia,(2016),"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Wish Dragon,(2021),Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
Ratatouille,(2007),A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
Sing,(2016),"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
Sing 2,(2021),Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
The Lion King,(2019),"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
Your Name.,(2016),"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
My Hero Academia: World Heroes' Mission,(2021),"When a cult of terrorists ruins a city by releasing a toxin that causes people's abilities to spiral out of control, Japan's greatest heroes spread around the world in an attempt to track down the mastermind and put him to justice."
Shark Tale,(2004),"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage."
The Incredibles,(2004),"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
Trollhunters: Rise of the Titans,(2021),The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.
"Monsters, Inc.",(2001),"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
